
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;Gain;
14,9120;0,8906;-0,2403;-0,2984;-60,166;14,349;-108,524;99,5377;
14,9690;0,8940;-0,2334;-0,3004;-59,504;13,902;-108,571;99,5377;
15,0180;0,8940;-0,2334;-0,3004;-59,504;13,902;-108,571;99,5377;
15,1130;0,8940;-0,2334;-0,3004;-59,504;13,902;-108,571;98,7960;
15,1300;0,8940;-0,2256;-0,3023;-58,884;13,445;-108,684;98,7960;
15,2210;0,8940;-0,2256;-0,3023;-58,884;13,445;-108,684;98,7960;
15,2930;0,9014;-0,2305;-0,3038;-59,113;13,622;-108,626;98,7960;
15,3140;0,9014;-0,2305;-0,3038;-59,370;13,622;-108,626;98,7960;
15,4210;0,9014;-0,2305;-0,3038;-59,370;13,622;-108,626;99,4173;
15,4540;0,9170;-0,2388;-0,2970;-59,380;13,915;-107,944;99,4173;
15,5140;0,9170;-0,2388;-0,2970;-59,564;13,915;-107,944;99,4173;
15,6150;0,9175;-0,2500;-0,3077;-60,841;14,488;-108,540;99,4173;
15,6200;0,9175;-0,2500;-0,3077;-60,841;14,488;-108,540;99,4173;
15,7140;0,9175;-0,2500;-0,3077;-60,841;14,488;-108,540;98,9105;
15,7760;0,9131;-0,2559;-0,2989;-61,276;14,915;-108,126;98,9105;
15,8200;0,9131;-0,2559;-0,2989;-61,276;14,915;-108,126;98,9105;
15,9140;0,9131;-0,2559;-0,2989;-61,276;14,915;-108,126;98,9105;
15,9370;0,9131;-0,2540;-0,2867;-60,757;14,861;-107,431;98,9105;
16,0210;0,9131;-0,2540;-0,2867;-60,757;14,861;-107,431;98,2078;
16,0980;0,8975;-0,2662;-0,2857;-62,435;15,781;-107,659;98,2078;
16,1140;0,8975;-0,2662;-0,2857;-62,435;15,781;-107,659;98,2078;
16,2210;0,8975;-0,2662;-0,2857;-62,435;15,781;-107,659;98,2078;
16,2590;0,8769;-0,2491;-0,2833;-61,482;15,124;-107,902;98,2078;
16,3140;0,8769;-0,2491;-0,2833;-61,587;15,124;-107,902;97,5214;
16,4200;0,8960;-0,2559;-0,2970;-61,919;15,169;-108,336;97,5214;
16,4220;0,8960;-0,2559;-0,2970;-61,919;15,169;-108,336;97,5214;
16,5130;0,8960;-0,2559;-0,2970;-61,919;15,169;-108,336;97,5214;
16,5790;0,8950;-0,2476;-0,2994;-61,254;14,701;-108,496;97,5214;
16,6210;0,8950;-0,2476;-0,2994;-61,254;14,701;-108,496;97,1178;
16,7140;0,8950;-0,2476;-0,2994;-61,420;14,701;-108,496;97,1178;
16,7420;0,9067;-0,2442;-0,3224;-61,316;14,238;-109,571;97,1178;
16,8210;0,9067;-0,2442;-0,3224;-61,316;14,238;-109,571;97,1178;
16,9030;0,8848;-0,2481;-0,2970;-61,752;14,887;-108,554;99,0951;
16,9140;0,8848;-0,2481;-0,2970;-61,752;14,887;-108,554;99,0951;
17,0210;0,8848;-0,2481;-0,2970;-61,752;14,887;-108,554;99,0951;
17,0630;0,9053;-0,2408;-0,2950;-60,333;14,191;-108,049;99,0951;
17,1140;0,9053;-0,2408;-0,2950;-60,243;14,191;-108,049;99,0951;
17,2210;0,9053;-0,2408;-0,2950;-60,243;14,191;-108,049;99,0199;
17,2240;0,8936;-0,2369;-0,3033;-60,522;14,090;-108,749;99,0199;
17,3140;0,8936;-0,2369;-0,3033;-60,707;14,090;-108,749;99,0199;
17,3850;0,9146;-0,2413;-0,3072;-60,516;14,039;-108,568;99,0199;
17,4210;0,9146;-0,2413;-0,3072;-60,516;14,039;-108,568;99,0199;
17,5140;0,9146;-0,2413;-0,3072;-60,516;14,039;-108,568;98,9760;
17,5460;0,9048;-0,2525;-0,3038;-61,750;14,818;-108,560;98,9760;
17,6210;0,9048;-0,2525;-0,3038;-61,750;14,818;-108,560;98,9760;
17,7070;0,9268;-0,2510;-0,3082;-61,003;14,414;-108,394;98,9760;
17,7130;0,9268;-0,2510;-0,3082;-61,003;14,414;-108,394;98,9760;
17,8210;0,9268;-0,2510;-0,3082;-61,003;14,414;-108,394;99,1898;
17,8680;0,8867;-0,2388;-0,2974;-60,950;14,324;-108,544;99,1898;
17,9140;0,8867;-0,2388;-0,2974;-60,950;14,324;-108,544;99,1898;
18,0210;0,8867;-0,2388;-0,2974;-60,950;14,324;-108,544;99,1898;
18,0290;0,9102;-0,2290;-0,2896;-59,045;13,485;-107,652;99,1898;
18,1140;0,9102;-0,2290;-0,2896;-59,140;13,485;-107,652;98,2402;
18,1900;0,8926;-0,2388;-0,2955;-60,783;14,251;-108,317;98,2402;
18,2210;0,8926;-0,2388;-0,2955;-60,783;14,251;-108,317;98,2402;
18,3140;0,8926;-0,2388;-0,2955;-60,783;14,251;-108,317;98,2402;
18,3510;0,8779;-0,2325;-0,2935;-60,643;14,097;-108,488;98,2402;
18,4210;0,8779;-0,2325;-0,2935;-60,643;14,097;-108,488;98,6031;
18,5110;0,9004;-0,2437;-0,2974;-61,018;14,413;-108,281;98,6031;
18,5120;0,9004;-0,2437;-0,2974;-61,018;14,413;-108,281;98,6031;
18,6210;0,9004;-0,2437;-0,2974;-61,018;14,413;-108,281;98,6031;
18,6730;0,9409;-0,2447;-0,3077;-60,069;13,882;-108,109;98,6031;
18,7140;0,9409;-0,2447;-0,3077;-60,159;13,882;-108,109;99,7298;
18,8210;0,9409;-0,2447;-0,3077;-60,159;13,882;-108,109;99,7298;
18,8340;0,9483;-0,2877;-0,3150;-63,857;16,061;-108,377;99,7298;
18,9240;0,9483;-0,2877;-0,3150;-63,857;16,061;-108,377;99,7298;
18,9940;0,9365;-0,2779;-0,3014;-63,082;15,773;-107,837;99,7298;
19,0210;0,9365;-0,2779;-0,3014;-63,082;15,773;-107,837;99,6969;
